year,tagged_date,release_location,flag_id,ring,tag_serial,tag_start_time,tag_end_time,release_time,tag_fitted_by,tag_checked_by,weight,wing,tarsus,foam_depth,tag_deployment_weight_untrimmed,colour_marks_weight,offcuts_weight,total_deployment_weight_tag_colours,perc_weight,left_strap_start_tail_mm,right_strap_start_tail_mm,left_strap_fitted_tail_mm,right_strap_fitted_tail_mm,left_strap_tube_mm,right_strap_tube_mm,strap_length_ah_formula_weight,strap_length_ah_formula_wing,photo_by,bird_released_tagged,comments_fitting,comments_release,outcome,outcome_2022,comments_outcome
2021,03/07/2021,Sandringham,0E,FA95504,203285,1125,1148,1151,SEF,NAC,662,288,,3,15.2,3.2,0.9,17.5,0.02643504532,,,,,128,128,117,117,SEF,y,"Tried measure to mark with paint pen and marks rub off. Initially tried 122, which was a bit tight. Added 13mm on Andy's formula to allow for growth given very little breast muscle development.",Walked off slightly splay legged. Initially flapping a bit. Walking normally after 5 min. Obs done in pen subsequently.,,U,"Last transmission 28/08/2022, Gedney, Lincolnshire"
2021,03/07/2021,Sandringham,0J,FA95505,203286,1213,1217,1219,SEF,NAC,585,277,,3,15.2,3.2,0.7,17.7,0.03025641026,,,,,122,122,110,110,NAC,y,Added 12mm on Andy's formula to allow for growth. Bird had very little breast muscle. Same age as 0E.,"Flopped around a lot when first released, didn't walk great although could move legs decently. After 10 min was walking fine in back of pen, though not as relaxed as 0E after same period. Also was quite stressed in hand towards end of tag fitting, suddenly started gaping (despite fitting process being much quicker than 0E). After 20 min, it was very happy and behaving as all other birds in the pen. Tag photos NAC.",,,
2021,08/07/2021,Ken Hill,2A,FA95515,203287,1400,1408,1409,SEF,NAC,663,260,,3,16.2,3.2,1.9,17.5,0.02639517345,,,,,125,125,117,100,SEF,n,,"Initially flopped away on release, but started to ercover after a couple of minutes when went into flock. Walking fine by the time all kit was packed up. Tag was not charging well in the pen, so was removed shortly prior to release on 15/07/2021. Right leg loop was not symmetrical to left, had 3.5mm extra 'gape'.",,,
2021,17/07/2021,Ken Hill,3A,FA95529,203287,1349,1356,1358,SEF,NAC,551,258,,6,15.8,3.2,1.3,17.7,0.03212341198,,,,,115,115,107,99,SEF,y,Added 1 layer of foam for total 2. Did not account for extra foam layer in addition of 5mm to AH formula measurements.,"Flopped around on release into pen as others (0J, 2A) have done and 'rowed' its way to join other birds. Observed 30 min later for 30 min, and was absolutely fine, walking ,standing and preening, same as other birds in pen. Actual tag deployment weight (following recovery, plus sand) = 14.8g. In situ measurements, left = 124 large gape at front approx 12mm; right = 115).",,,
2021,20/07/2021,Sandringham,3K,FA95534,203286,1224,1229,1230,NAC,,532,264,,6,15.8,3.2,1.3,17.7,0.03327067669,,,,,126,126,110,108,NAC?,y,"Accounted for additional 5mm of extra foam in AH formula. Height of tag with extra foam = 18.7mm. Tried 120mm harness and was too tight, so resized to 126mm.","Bit stumbly, flapped and jumped. Ruffled feathers a lot. Trying to fly away from tag. Walking not too bad, still a bit awkward but think will be ok. 27/07 Flew strongly when leaving pen. Was walking normally in pen as other birds prior to release.",,,
2022,15/08/2022,Ken Hill,9J,FJ78419,203287,1431,1443,1445,SEF,KMB,811,295,144,6,15.9,3.2,0.9,18.2,0.02244143033,115,89,108,99,136,136,,,SEF,y,"Old tag style with shorter harness tubes, so larger overall length leg loop tubes needed","132 too small, walked off beautifully! Bit splay legged. Very happy, really good fit. Harness much more difficult to fit than with new housing design, 22/08/22 Despite tidying feathers under harness nicely, feathers looked quite ruffled (white ones) on release day.",U,,"Last transmission 08/11/2022, Gedney, Lincolnshire"
2022,14/07/2022,Ken Hill,7E,FA95595,223951,1257,1305,1306,SEF,NAC,613,281,141,6,14.9,3.2,1.1,17,0.0277324633,133,133,141,140,135,135,,,SEF,y,,Flopped around a bit on release. Walking around fine after 15 mins.,"U, probably M",,"Last transmission 08/09/2022, Inner Trial Bank, Norfolk"
2022,03/08/2022,Sandringham,8E,FJ78405,223952,1211,1216,1218,SEF,SEF,749.6,282,139,6,15.2,3.2,0.9,17.5,0.02334578442,149,149,110,108,120,120,,,SEF,y,,"Fit is a bit looser than previous bird (8L) this is preferred. Walked off reasonably well actually, a bit stumbly and awkwardly flappy. Looked fine by departure time at 13:15",E,,"Last transmission 15/12/2022, Freiston, Lincolnshire; battery charge 0%"
2022,14/07/2022,Sandringham,7K,FA95584,223953,1654,1700,1701,RMG,NAC,628,279,131,6,15.5,3.2,1.1,17.6,0.02802547771,155,155,158,151,118,118,,,SEF,y,,Ran to other end then flopped. Looking much better but not totally settled at 17:40,E,,"Last transmission 22/11/2022, Holme, Norfolk; battery charge 0%; resighted 21/12/2022, Hunstanton"
2022,14/07/2022,Sandringham,7Y,FA95583,223954,1640,1646,1649,NAC,GDC/SEF,657,283,139,6,15.5,3.2,1.1,17.6,0.02678843227,148,148,146,140,125,125,,,SEF,y,Straps double knotted,"Flopped, crawled and lay down for a while. Looking much better by 17:38 but still not totally settled. 03/08 Seen around 13:00 on RAF Sculthorpe in flock with 6 other adult curlew. Foraging and moving around fine. Walking looks normal. White back feathers are slightly ruffled.",E,,"Last transmission 19/12/2022, Holkham, Norfolk; battery charge 0%"
